met_2,met_3,met_4,met_5,met_6,met_7,met_8,met_9,met_10,met_11,met_12
28.74534394790425,27.921171660094767,26.792887507083464,26.934024474919227,26.797154848536813,27.28071968438322,33.989013036611205,32.80828190597101,27.74882214513078,27.04927357899061,26.998912061804916
28.850394731032246,27.95990796575296,26.810455218187457,27.004035766263907,26.44619659079052,27.678834242318068,28.260857485634233,26.9836616910282,27.498220241817673,27.252481086412168,27.23825232160128
28.776931896691522,27.96637188102468,26.83429999233767,26.956649596765963,26.711462317293837,29.182185850803382,31.607717173232754,27.251280192813727,28.169110883757902,27.206204311088943,27.45588547815921
28.78954096636971,28.01698509083488,26.80886186838885,26.880953107713353,26.494210549286347,27.171793929884338,27.01965526832581,27.193104537734918,27.218369832013522,30.435901202403187,27.37323104497125
28.76086431122522,27.918973826827926,26.53876509784432,26.83787034342545,26.512496544447593,27.03349798353457,26.69649366105779,26.91197573642806,27.124005532612088,27.63809532779606,27.942094123121564
28.745010136238463,27.902751995702086,26.496092467489134,26.967135677024356,26.41236355332361,27.045980986247898,26.78698962102836,27.254006370354173,28.08816061095788,28.565072741952175,27.445791989295206
28.81609636636372,27.957454442261636,26.703831909555337,26.961586883640955,26.820700781119815,27.185679415690412,26.959636982548385,26.930506338129607,26.96391339346267,27.212792219043376,28.197099847944777
28.8873863057026,28.11218796864851,26.709716318208653,26.83949078132299,26.617013091846786,27.098259785840582,27.426594616122447,27.27378764176714,27.556874445134167,27.355010521867634,29.45328493157053
28.806432743942658,27.938206371522366,26.65365366939904,27.078199207633467,26.493412790267495,26.94258726004577,27.95766060045994,27.274131176170346,27.024354747920913,26.786772232619377,27.355919110869614
28.848200067901015,27.824279926769957,26.680430083848172,26.85535703809719,26.525368390043607,27.244522732705654,33.7581609715794,27.019034244251745,27.252292992527057,27.002065926770797,27.307679492356606
28.91267827686984,27.981640401539238,26.808623561348018,26.8845164231648,26.576905802789007,26.97087495916155,26.962482060044035,27.2136139477635,27.802023028586202,27.12400289707387,27.485870042136096
28.868459856820007,27.970609592323513,26.774120074955643,26.948139897661942,26.605499667795772,27.07843082114097,26.928135679211067,26.936406857548896,27.278185712153775,27.373425375672088,32.70500986467574
28.818228703528554,27.902944519033205,26.655151026033984,26.77889929783217,26.66248461215337,27.119482951136202,27.51919532712964,27.04128153174687,28.14451719848688,27.353416680681775,30.919570504891087
28.812923353505592,27.846488876243175,26.775740175490366,26.98589060714061,26.478002720793448,27.27163504576458,26.847430492904206,26.898995755788306,27.34836105708131,27.22466646458141,27.22279740138351
28.76194972700957,28.023283007742428,26.744022282402273,26.83872504031125,26.68337435064842,27.216743997101243,27.10246908836552,26.894886200745816,27.449279540569847,27.134928491323844,27.2683314637398
28.769676694089846,27.90085888734639,26.834165718399117,26.937648132516358,26.781156673285395,27.029305042994473,27.000905324904828,27.069866774751834,27.326818466315377,27.183949190175095,27.214771554559114
28.78624033539307,27.849666744456464,26.78225486687123,26.867655959266767,26.63193172631483,28.78192435106093,27.031296616959118,26.992138452231195,26.906108156137837,28.430046943483035,27.525873103206592
28.793063262305267,27.97154103082733,26.761473235377082,26.828762379347353,26.658612491438898,27.092034998207897,27.19848058628357,27.317524237820233,27.636918782445523,26.976697055443243,27.058664314667315
28.7360782434096,28.00882953051009,26.586716662712945,26.914297804335195,26.67567483772551,27.447420631802483,29.239275317047724,26.937092998261917,28.210730082143343,27.514955011725778,27.488981656357304
28.812579038654462,27.896625732098574,26.642260036524096,26.86956334549186,26.412050134835606,26.888114395314883,27.004285017317077,26.865357019228615,27.23857708813231,27.1276032575983,27.026195257862256
28.752377357771593,28.05900870923675,26.787896733247763,26.73248362931755,26.711612995841993,26.996218512283782,26.62027905947883,28.247337204692062,27.20830020834275,27.718391235597444,29.059931760446307
28.706751098977435,28.074502965772986,26.738675071654498,27.00046949524642,26.61965968304589,28.056694539037302,26.972455721581827,28.279884847878673,27.231061579871994,27.11200400480819,27.17303475579818
28.800200362005295,27.922914572356493,26.754632188248138,26.962042628115235,26.651578794665276,27.143988579119206,27.024988431820606,27.10498757237258,27.534519192269784,27.181282565051802,27.157105635932467
28.75862353787257,27.970204962653323,26.712813912780238,26.975916647191244,26.612983550610785,26.961251240184154,27.42554820650361,26.977699214915308,27.843919136773245,27.33483990843085,27.19531584968353
